dataset,DOI,AuthorYear,SDG_theme,ancillary,classification_type,indices,RS_spatital_resolution_m,model_group,Confusion_matrix,RS_device_group,RS_device_type,Publication.Year,number_classes,fraction_majority_class,total,OA_reported,globalCitationsCount,RS_spatital_res_grouped,journal,
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,SDG 15: Life on Land,0,Object-level,0,0.2,Neural Networks,0,Other,Passive,2023,2,0.86,75782016,0.9274,NA,>1,TO_DO,
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,SDG 15: Life on Land,0,Object-level,0,0.2,Neural Networks,0,Other,Passive,2023,2,0.86,75782016,0.9572,NA,>1,TO_DO,
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,SDG 15: Life on Land,0,Object-level,0,0.2,Neural Networks,0,Other,Passive,2023,2,0.86,75782016,0.9631,NA,>1,TO_DO,
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,SDG 15: Life on Land,0,Object-level,0,0.2,Neural Networks,0,Other,Passive,2023,2,0.86,75782016,0.9509,NA,>1,TO_DO,
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,SDG 15: Life on Land,0,Object-level,0,0.2,Neural Networks,0,Other,Passive,2023,2,0.86,75782016,0.9613,NA,>1,TO_DO,
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,SDG 15: Life on Land,0,Object-level,0,0.2,Neural Networks,0,Other,Passive,2023,2,0.86,75782016,0.9765,NA,>1,TO_DO,
nina_2024,10.1080/17538947.2022.2130461,Owers et al. 2022,SDG 15: Life on Land,0,Object-level,1,25,Tree-Based Models,1,Landsat,Passive,2022,6,0.60867343,11737,0.8,3,15-25,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.98745981,3110,0.9996,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.9903537,3110,0.9955,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99324759,3110,0.9755627,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99517685,3110,0.99742765,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99389068,3110,0.99678457,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99389068,3110,0.99871383,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99389068,3110,0.9977492,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99389068,3110,0.99742765,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99389068,3110,1,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99062918,4482,0.99776885,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.97478804,4482,0.99776885,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.98728246,4482,0.9984382,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99286033,4482,0.99553771,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.9944034,4482,0.99665328,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99107541,4482,0.99888443,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99173923,4479,0.99977674,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99107541,4482,0.99955377,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.99107541,4482,1,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.97573588,5028,0.79634049,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.97111742,4224,0.74857955,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.97111742,4224,0.92305871,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.97111742,4224,0.97301136,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.98579545,4224,0.98579545,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.97111742,4224,0.98248106,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.97111742,4224,0.99360795,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.97077144,4174,0.99041687,10,Not Reported,TO_DO,
nina_2024,10.1109/jstars.2020.3001980,Nazir et al. 2020,SDG 11: Sustainable Cities and Communities,0,Object-level,1,Not Reported,Neural Networks,1,Other,Passive,2020,2,0.98653199,4224,0.984375,10,Not Reported,TO_DO,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-84859928062&partnerID=40&md5=5d90eeb9cb9addc7273487c881ffbfed,"Dalponte M., Bruzzone L., Gianelle D.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2012,NR,NR,,79.2,TO_DO,NR,Remote Sensing of Environment,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-33947395647&partnerID=40&md5=6bb0ee1ca816ec9ca1712ae62d93ec42,"Su L., Chopping M.J., Rango A., Martonchik J.V., Peters D.P.C.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2007,NR,NR,,70.3,TO_DO,NR,International Journal of Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-0034038576&partnerID=40&md5=79fc27d1b0236167bee6e79620856933,"Kuplich T.M., Freitas C.C., Soares J.V.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2000,NR,NR,,91.6,TO_DO,NR,International Journal of Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-37748999591&partnerID=40&md5=2ceea0c2e3f5cce44d7ad74a44b6904c,"Lu D., Batistella M., Moran E.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2007,NR,NR,,65.2,TO_DO,NR,International Journal of Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-0035144957&partnerID=40&md5=94416af50a2618c357f253972759a05d,"Ranson K.J., Sun G., Kharuk V.I., Kovacs K.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2001,NR,NR,,71.6,TO_DO,NR,Remote Sensing of Environment,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-78650132025&partnerID=40&md5=493decc3229bba3e6ed8001bc630e247,"Sluiter R., Pebesma E.J.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2010,NR,NR,,53.1,TO_DO,NR,International Journal of Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-77958096283&partnerID=40&md5=81e5ad2a3db903b54fee99468e64791f,"Watts J.D., Powell S.L., Lawrence R.L., Hilker T.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2011,NR,NR,,92.4,TO_DO,NR,Remote Sensing of Environment,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-33646796370&partnerID=40&md5=c29a26c1be0cfd29d12eee857bb565bf,"Zhu L., Tateishi R.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2006,NR,NR,,85.5,TO_DO,NR,International Journal of Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-77956884950&partnerID=40&md5=dd7eb3dfe6d1e0e1fd00db1549124223,"Jones T.G., Coops N.C., Sharma T.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2010,NR,NR,,72.3,TO_DO,NR,Remote Sensing of Environment,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-10944267227&partnerID=40&md5=5a7a8e145393a08ef44f606615b13a43,"Alparone L., Baronti S., Garzelli A., Nencini F.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2004,NR,NR,,92.5,TO_DO,NR,IEEE Transactions on Geoscience and Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-0037058334&partnerID=40&md5=4e0f2043ffc48fc5f065584c231d831e,"Franklin S.E., Peddle D.R., Dechka J.A., Stenhouse G.B.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2002,NR,NR,,67,TO_DO,NR,International Journal of Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-84865053262&partnerID=40&md5=a02d8d8ab612d7910bfdcdbacbd886d2,"Cho M.A., Mathieu R., Asner G.P., Naidoo L., van Aardt J., Ramoelo A., Debba P., Wessels K., Main R., Smit I.P.J., Erasmus B.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2012,NR,NR,,76.8,TO_DO,NR,Remote Sensing of Environment,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-84857000850&partnerID=40&md5=7fe55f1ba0d7c0ba72150e30291a744c,"Salberg A.-B., Jenssen R.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2012,NR,NR,,80.8,TO_DO,NR,International Journal of Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-78650911205&partnerID=40&md5=d23e972cea8fb4f8f8c5659a81e748cd,Salberg A.-B.,NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2011,NR,NR,,74.9,TO_DO,NR,IEEE Transactions on Geoscience and Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-84859644121&partnerID=40&md5=ae1be89128faf4d5b3e89ad144fc4c74,"Naidoo L., Cho M.A., Mathieu R., Asner G.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2012,NR,NR,,79,TO_DO,NR,ISPRS Journal of Photogrammetry and Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-10944240176&partnerID=40&md5=e6c0cb34219ec7e5f95fbf6f5a55557f,"Unsalan C., Boyer K.L.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2004,NR,NR,,83.3,TO_DO,NR,IEEE Transactions on Geoscience and Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-38949149377&partnerID=40&md5=6cb7634a55988a43da169a9d130ada1c,"Watanachaturaporn P., Arora M.K., Varshney P.K.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2008,NR,NR,,92.7,TO_DO,NR,Photogrammetric Engineering and Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-0032639675&partnerID=40&md5=2ba1ca6753d91469e65a060a08caa4df,Schistad Solberg A.H.,NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,1999,NR,NR,,70,TO_DO,NR,IEEE Transactions on Geoscience and Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-84859767402&partnerID=40&md5=f95d12aec6577a711773db33d2243a80,"Bagan H., Kinoshita T., Yamagata Y.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2012,NR,NR,,79.4,TO_DO,NR,IEEE Transactions on Geoscience and Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-82155179345&partnerID=40&md5=e640210d737791dec7941b82f1419857,"Htun N.Z., Mizoue N., Yoshida S.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2011,NR,NR,,70.5,TO_DO,NR,International Journal of Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-34249804195&partnerID=40&md5=dbbb1ddc37e2440f4db12b1967bf4aaa,"Chang Y.-L., Liang L.-S., Han C.-C., Fang J.-P., Liang W.-Y., Chen K.-S.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2007,NR,NR,,86.7,TO_DO,NR,IEEE Transactions on Geoscience and Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-70449365806&partnerID=40&md5=902bd366fb36df3294b2c1238851e41b,"Mariz C., Gianelle D., Bruzzone L., Vescovo L.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2009,NR,NR,,87.5,TO_DO,NR,International Journal of Remote Sensing,
Khatami_2011,http://www.scopus.com/inward/record.url?eid=2-s2.0-33846988606&partnerID=40&md5=f46f16ae8f646bbe8347f454c6224dba,"Shi T., Clothiaux E.E., Yu B., Braverman A.J., Groff D.N.",NR,0,CHECK,NR,NR,NR,NR,CHECK,CHECK,2007,NR,NR,,92,TO_DO,NR,Remote Sensing of Environment,
